,Date,Uncleaned,Cleaned
0,4/25/2020 22:29,b'does this look like the actions of someone with #COVID19 #WuhanCoronaVirus ?\ndoes she have access to a #Vaccine ?\nd\xe2\x80\xa6 https://t.co/P4hNIZMP8U',b look like action someon covid wuhancoronaviru ndoe access vaccin nd xe x xa http co p hnizmp u
1,4/25/2020 22:16,"b'@cdnpoliticalsa1 @muddywatersre When we get over this plague, there will be many good paying manufacturing jobs in\xe2\x80\xa6 https://t.co/XEG7oLmRjM'",b cdnpoliticalsa muddywatersr get plagu mani good pay manufactur job xe x xa http co xeg olmrjm
2,4/25/2020 22:16,b'Good morning fellow inmates #LifeInLockdown #isolation #IsolationLife #isolationcreation #isolationnation\xe2\x80\xa6 https://t.co/3u5sEetUe6',b good morn fellow inmat lifeinlockdown isol isolationlif isolationcr isolationn xe x xa http co u seetu
3,4/25/2020 22:15,"b""@CharlesHoo4 @GaryPNabhan I take it your gay Charles and with a button di**.. ? \xf0\x9f\xa4\xa3. Sorry, but I'm not gay, if u are\xe2\x80\xa6 https://t.co/KdbEkeQUzb""",b charleshoo garypnabhan take gay charl button di xf x f xa xa sorri gay u xe x xa http co kdbekequzb
4,4/25/2020 22:12,b'@stevenchase #DecoupleChina is gaining steam. \n\n#cdnpoli #bcpoli #vanre #CCP #China #TiananmenSquareMassacre\xe2\x80\xa6 https://t.co/KtkEwfdc58',b stevencha decouplechina gain steam n ncdnpoli bcpoli vanr ccp china tiananmensquaremassacr xe x xa http co ktkewfdc
5,4/25/2020 22:06,b'@stevenchase @globeandmail Virus? Business as usual in in Ottawa with thuggish #CCP. \n\n#cdnpoli #bcpoli #China\xe2\x80\xa6 https://t.co/SGpECV7qWV',b stevencha globeandmail viru busi usual ottawa thuggish ccp n ncdnpoli bcpoli china xe x xa http co sgpecv qwv
6,4/25/2020 21:57,b'#CoronavirusHow #WuhanCoronaVirus  humans survived thousands of years without vaccines and why humans need more and\xe2\x80\xa6 https://t.co/lgBoGLCTo0',b coronavirushow wuhancoronaviru human surviv thousand year without vaccin human need xe x xa http co lgboglcto
7,4/25/2020 21:53,b'How and why we went from \xe2\x80\x98flatten the curve\xe2\x80\x99 to choosing between our economy and the virus.\n#WuhanCoronaVirus\xe2\x80\xa6 https://t.co/PVqKw4zKZK',b went xe x x flatten curv xe x x choo economi viru nwuhancoronaviru xe x xa http co pvqkw zkzk
8,4/25/2020 21:53,"b'@obliviscor_11 nah, it was #WuhanCoronaVirus'",b obliviscor nah wuhancoronaviru
9,4/25/2020 21:52,b'It seems that John Hopkins University is starting to manipulate the number of #WuhanCoronaVirus cases to fulfill th\xe2\x80\xa6 https://t.co/2G1PnAU87f',b seem john hopkin univ start manipul number wuhancoronaviru case fulfil th xe x xa http co g pnau f
10,4/25/2020 21:49,"b'To avoid getting blamed for #WuhanCoronaVirus, #China is creating a conflict like situation in #SouthChinaSea .\xe2\x80\xa6 https://t.co/Z4f59EnUYD'",b avoid get blame wuhancoronaviru china creat conflict like situat southchinasea xe x xa http co z f enuyd
11,4/25/2020 21:44,b'@EpochTimes I think 3 people died in my County. 1 was an overdose ruled as #WuhanCoronaVirus Death.',b epochtim think peopl die counti overdo rule wuhancoronaviru death
12,4/25/2020 21:43,b'@NicoleArbour I DID Notice. I was thinking the same thing. 1)#WuhanCoronaVirus seems to have been leaked from a lab\xe2\x80\xa6 https://t.co/TbrE1rzW82',b nicolearbour notic think thing wuhancoronaviru seem leak lab xe x xa http co tbre rzw
13,4/25/2020 21:34,b'@MonettiforMO This cannot stand. This is USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8! #WuhanCoronaVirus being used to deny basic freedoms. Time to wake\xe2\x80\xa6 https://t.co/tYVMxBRdfj',b monettiformo thi cannot stand thi usa xf x f x xba xf x f x xb wuhancoronaviru use deni basic freedom time wake xe x xa http co tyvmxbrdfj
14,4/25/2020 21:34,b'\xf0\x9f\x94\xb4 NEW VIDEO OUT ON MY CHANNEL TELLING YOU ALL ABOUT COVID-19 CLICK THE LINK RIGHT NOW!! \xf0\x9f\x94\xb4 https://t.co/3U6xbZVY2Y\xe2\x80\xa6 https://t.co/8Om1HsyLrC',b xf x f x xb new video channel tell covid click link right xf x f x xb http co u xbzvi xe x xa http co om hsylrc
15,4/25/2020 20:53,"b'@allisonpearson FFS\xe2\x9d\x97\xef\xb8\x8f\nIs that the best the government can do?\nPatience is wearing thin, where\xe2\x80\x99s the #exitstrategy\xe2\x81\x89\xef\xb8\x8f\xe2\x80\xa6 https://t.co/VVhEhdgBZR'",b allisonpearson ff xe x x xef xb x f ni best govern npatienc wear thin xe x x exitstrategi xe x x xef xb x f xe x xa http co vvhehdgbzr
16,4/25/2020 20:33,"b""If there's one thing this #WuhanCoronaVirus pandemic has taught me, it is never to insult/mock religious leaders ag\xe2\x80\xa6 https://t.co/aIB5atn6Et""",b one thing wuhancoronaviru pandem taught never insult mock religi leader ag xe x xa http co aib atn et
17,4/25/2020 20:25,"b'The #WuhanCoronavirus ""has upended the #fentanyl supply chain, causing a ripple effect that has cut into the profit\xe2\x80\xa6 https://t.co/MQmRNcCYgo'",b wuhancoronaviru upend fentanyl suppli chain cau rippl effect cut profit xe x xa http co mqmrnccygo
18,4/25/2020 20:13,b'I would shoot it down.\n#WuhanCoronaVirus #Covid_19\n https://t.co/Ee6YMfMji7',b would shoot nwuhancoronaviru covid n http co ee ymfmji
19,4/25/2020 19:56,"b""@secupp Darwin's Law of Natural Selection proven correct yet again \xf0\x9f\x98\x94\xf0\x9f\x98\x94 #WuhanCoronaVirus""",b secupp darwin law natur select proven correct yet xf x f x x xf x f x x wuhancoronaviru
20,4/25/2020 19:53,b'@mallen2010 @RedStateBlonde @KenGardner11 Other nations are beginning to open up. And now that it is getting cleare\xe2\x80\xa6 https://t.co/C8Uq05Fdk6',b mallen redstateblond kengardn nation begin open get clear xe x xa http co c uq fdk
21,4/25/2020 19:46,b'#WuhanCoronaVirus deaths are greatly exaggerated. https://t.co/pbP1TcXSqi',b wuhancoronaviru death greatli exagg http co pbp tcxsqi
22,4/25/2020 19:45,"b""200,000 world wide #WuhanCoronaVirus deaths doesn't put a dent in the 5-7 billion population of the Earth. #OpenAmericaNow""",b world wide wuhancoronaviru death put dent billion popul earth openamericanow
23,4/25/2020 18:59,b'The virus was created by nature\nbut nature plays no roll in a cure.....\n\n#FireTam \n\n#COVID19 #WuhanCoronaVirus\xe2\x80\xa6 https://t.co/vdlsmnztAK',b viru creat natur nbut natur play roll cure n nfiretam n ncovid wuhancoronaviru xe x xa http co vdlsmnztak
24,4/25/2020 18:53,b'@cdnpoliticalsa1 @muddywatersre #DecoupleChina as fast as possible. Set some records for moving manufacturing of PP\xe2\x80\xa6 https://t.co/6ymJfgREa8',b cdnpoliticalsa muddywatersr decouplechina fast possibl set record move manufactur pp xe x xa http co ymjfgrea
25,4/25/2020 18:40,b'90% of #WuhanCoronaVirus deaths in Indiana are over the age of 60; 1% under the age 40; so much for that talking point',b wuhancoronaviru death indiana age age much talk point
26,4/25/2020 18:39,b'@jcpunongbayan Traitors! #WestPhilippineSea is ours. COVID19 is #WuhanCoronaVirus #WuhanVirus and China can go #NMSL \xf0\x9f\xa4\xac',b jcpunongbayan traitor westphilippinesea covid wuhancoronaviru wuhanviru china go nmsl xf x f xa xac
27,4/25/2020 18:38,"b'On February 12, 2020, the WHO &amp; CDC knew that the #WuhanCoronaVirus was a PANDEMIC!  If you don\xe2\x80\x99t believe me, here\xe2\x80\xa6 https://t.co/zykpPAtq5o'",b februari amp cdc knew wuhancoronaviru pandem xe x x believ xe x xa http co zykppatq
28,4/25/2020 18:37,"b'From February 11, 2020:  WHO won\xe2\x80\x99t call the #WuhanCoronaVirus a pandemic;  main focus is making sure the virus name\xe2\x80\xa6 https://t.co/S40UpiutoX'",b februari xe x x call wuhancoronaviru pandem main focu make sure viru name xe x xa http co upiutox
29,4/25/2020 18:37,"b'Many of the #WuhanCoronaVirus deaths are inflated: For example, a man could be killed in a car accident, but if he\xe2\x80\xa6 https://t.co/y4Mb9SYOMy'",b mani wuhancoronaviru death inflat exampl man could kill car accid xe x xa http co mb syomi
30,4/25/2020 18:36,"b'@GovMurphy Hmm..\xe2\x80\x9dLiterally\xe2\x80\x9d a War?  Open Up NJ Parks as we have learned this week how quickly, in seconds, the\xe2\x80\xa6 https://t.co/e20imaP7g5'",b govmurphi hmm xe x x dliter xe x x war open nj park learn week quickli second xe x xa http co e imap g
31,4/25/2020 17:55,b'@nypost Government officials have destroyed 40% of the U.S. economy for the #WuhanCoronavirus.',b nypost govern offici destroy u economi wuhancoronaviru
32,4/25/2020 17:52,b'India to fight corona IIT ROORKEE Proff invents software to detect corona infection via x-ray \n#covid19 #covid_19\xe2\x80\xa6 https://t.co/3eqyIaSzTY',b india fight corona iit roork proff invent softwar detect corona infect via x ray ncovid covid xe x xa http co eqyiaszti
33,4/25/2020 17:51,b'NO DDR\xf0\x9f\x98\xb7\nDay 35\n\n#DDR\n#WuhanCoronaVirus https://t.co/Gn6RrY0yH3',b ddr xf x f x xb nday n nddr nwuhancoronaviru http co gn rri yh
34,4/25/2020 17:51,b'Some history to consider in discussions of how Communist #china might be held accountable for the #WuhanCoronaVirus\xe2\x80\xa6 https://t.co/sgOlN9Ly1k',b histori consid discu communist china might held account wuhancoronaviru xe x xa http co sgoln ly k
35,4/25/2020 17:38,"b'If having it is no guarantee against a second infection, as the WHO claims, wouldn\xe2\x80\x99t that apply to vaccines, too?\xe2\x80\xa6 https://t.co/UoJq8K7IIe'",b guarant second infect claim xe x x appli vaccin xe x xa http co uojq k iie
36,4/25/2020 17:28,"b'I think after this whole #WuhanCoronaVirus shit we should start paying our tax to religious leaders, NGOs and some\xe2\x80\xa6 https://t.co/eywEPjaRV8'",b think whole wuhancoronaviru shit start pay tax religi leader ngo xe x xa http co eywepjarv
37,4/25/2020 17:25,b'CoronaVirus Attack on Steam\nP.S. You can keep the game forever even steam delete the game if you are already downlo\xe2\x80\xa6 https://t.co/RO6zQohhwW',b coronaviru attack steam np keep game forev even steam delet game alreadi downlo xe x xa http co ro zqohhww
38,4/25/2020 17:22,"b""@TarekFatah @covid Let's start to give the correct name\n#WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia""",b tarekfatah covid let start give correct name nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
39,4/25/2020 17:13,b'@SenRickScott @WHO WHO had helped #CCP to cover up the outbreak in #Wuhan with all kinds of propaganda. It caused t\xe2\x80\xa6 https://t.co/fmQXEOy2JF',b senrickscott help ccp cover outbreak wuhan kind propaganda cau xe x xa http co fmqxeoy jf
40,4/25/2020 17:10,b'@Tobias_Ellwood This virus is originated from Wuhan. A lot of people was died because of all the propaganda issued\xe2\x80\xa6 https://t.co/bo79ePCg1P',b tobia ellwood thi viru origin wuhan lot peopl die propaganda issu xe x xa http co bo epcg p
41,4/25/2020 17:05,b'@12emma30 @mip06122019 This is #WuhanCoronaVirus #ChineseVirus19 #ChineseVirus #CCPLiedPeopleDied',b emma mip thi wuhancoronaviru chineseviru chineseviru ccpliedpeopledi
42,4/25/2020 16:48,b'@benedictrogers @WashTimes #WuhanCoronaVirus is a magic mirror to show who is the hypocrite! Soft invasion fr China\xe2\x80\xa6 https://t.co/pxgU7RxfMe',b benedictrog washtim wuhancoronaviru magic mirror show hypocrit soft inva fr china xe x xa http co pxgu rxfme
43,4/25/2020 16:45,"b'@RubinReport How about a $100,000.00 fine for #Fredo @ChrisCuomo who violated stay at home order by NY Governor oop\xe2\x80\xa6 https://t.co/f2p9HkWvtq'",b rubinreport fine fredo chriscuomo violat stay home order ny governor oop xe x xa http co f p hkwvtq
44,4/25/2020 16:44,"b""@HurdOnTheHill Let's start to give the correct name\n\n#WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia""",b hurdonthehil let start give correct name n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
45,4/25/2020 16:41,"b""@12emma30 So let's start to give it the correct name Mam\n\n#WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia""",b emma let start give correct name mam n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
46,4/25/2020 16:38,"b'@12emma30 No, they usually play zi pai \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#WUhanvirus\n#WuhanCoronaVirus\n#WUhanVirusDisease\n#WUvid\n#WUhanFlu\n#WuhanPneumonia'",b emma usual play zi pai xf x f xa xa xf x f xa xa xf x f xa xa n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
47,4/25/2020 16:18,"b'@chicagosmayor Now that we know sunlight and fresh air are key to fighting #WuhanCoronaVirus, can you have Comrade\xe2\x80\xa6 https://t.co/RswdNVfDx0'",b chicagosmayor know sunlight fresh air key fight wuhancoronaviru comrad xe x xa http co rswdnvfdx
48,4/25/2020 16:15,"b'According to a recent report, Tesla CEO Elon Musk and Amazon CEO Jeff Bezos are actually getting richer as much of\xe2\x80\xa6 https://t.co/ZQS7j5mMe9'",b accord recent report tesla ceo elon musk amazon ceo jeff bezo actual get richer much xe x xa http co zq j mme
